key_loja,cod_produto,dt_estoque,qt_estoque,is_ruptura,qtd_vendas,tipo_demanda,qtd_venda_interp,des_estado_franquia,categoria_produto,sub_categoria_produto,linha_produto,vlr_venda_tabelado_mean,qtd_vendas_media_1d,qtd_vendas_mediana_1d,qtd_vendas_max_1d,qtd_vendas_min_1d,qtd_vendas_media_7d,qtd_vendas_mediana_7d,qtd_vendas_max_7d,qtd_vendas_min_7d,qtd_vendas_media_30d,qtd_vendas_mediana_30d,qtd_vendas_max_30d,qtd_vendas_min_30d,qtd_vendas_media_60d,qtd_vendas_mediana_60d,qtd_vendas_max_60d,qtd_vendas_min_60d,media_1d_7d_ratio_qtd_vendas,media_1d_30d_ratio_qtd_vendas,media_1d_60d_ratio_qtd_vendas,media_7d_30d_ratio_qtd_vendas,media_7d_60d_ratio_qtd_vendas,media_30d_60d_ratio_qtd_vendas,mediana_1d_7d_ratio_qtd_vendas,mediana_1d_30d_ratio_qtd_vendas,mediana_1d_60d_ratio_qtd_vendas,mediana_7d_30d_ratio_qtd_vendas,mediana_7d_60d_ratio_qtd_vendas,mediana_30d_60d_ratio_qtd_vendas,max_1d_7d_ratio_qtd_vendas,max_1d_30d_ratio_qtd_vendas,max_1d_60d_ratio_qtd_vendas,max_7d_30d_ratio_qtd_vendas,max_7d_60d_ratio_qtd_vendas,max_30d_60d_ratio_qtd_vendas,min_1d_7d_ratio_qtd_vendas,min_1d_30d_ratio_qtd_vendas,min_1d_60d_ratio_qtd_vendas,min_7d_30d_ratio_qtd_vendas,min_7d_60d_ratio_qtd_vendas,min_30d_60d_ratio_qtd_vendas,vlr_venda_tabelado_mean_media_1d,vlr_venda_tabelado_mean_mediana_1d,vlr_venda_tabelado_mean_max_1d,vlr_venda_tabelado_mean_min_1d,vlr_venda_tabelado_mean_media_7d,vlr_venda_tabelado_mean_mediana_7d,vlr_venda_tabelado_mean_max_7d,vlr_venda_tabelado_mean_min_7d,vlr_venda_tabelado_mean_media_30d,vlr_venda_tabelado_mean_mediana_30d,vlr_venda_tabelado_mean_max_30d,vlr_venda_tabelado_mean_min_30d,vlr_venda_tabelado_mean_media_60d,vlr_venda_tabelado_mean_mediana_60d,vlr_venda_tabelado_mean_max_60d,vlr_venda_tabelado_mean_min_60d,media_1d_7d_ratio_vlr_venda_tabelado_mean,media_1d_30d_ratio_vlr_venda_tabelado_mean,media_1d_60d_ratio_vlr_venda_tabelado_mean,media_7d_30d_ratio_vlr_venda_tabelado_mean,media_7d_60d_ratio_vlr_venda_tabelado_mean,media_30d_60d_ratio_vlr_venda_tabelado_mean,mediana_1d_7d_ratio_vlr_venda_tabelado_mean,mediana_1d_30d_ratio_vlr_venda_tabelado_mean,mediana_1d_60d_ratio_vlr_venda_tabelado_mean,mediana_7d_30d_ratio_vlr_venda_tabelado_mean,mediana_7d_60d_ratio_vlr_venda_tabelado_mean,mediana_30d_60d_ratio_vlr_venda_tabelado_mean,max_1d_7d_ratio_vlr_venda_tabelado_mean,max_1d_30d_ratio_vlr_venda_tabelado_mean,max_1d_60d_ratio_vlr_venda_tabelado_mean,max_7d_30d_ratio_vlr_venda_tabelado_mean,max_7d_60d_ratio_vlr_venda_tabelado_mean,max_30d_60d_ratio_vlr_venda_tabelado_mean,min_1d_7d_ratio_vlr_venda_tabelado_mean,min_1d_30d_ratio_vlr_venda_tabelado_mean,min_1d_60d_ratio_vlr_venda_tabelado_mean,min_7d_30d_ratio_vlr_venda_tabelado_mean,min_7d_60d_ratio_vlr_venda_tabelado_mean,min_30d_60d_ratio_vlr_venda_tabelado_mean,qt_estoque_media_1d,qt_estoque_mediana_1d,qt_estoque_max_1d,qt_estoque_min_1d,qt_estoque_media_7d,qt_estoque_mediana_7d,qt_estoque_max_7d,qt_estoque_min_7d,qt_estoque_media_30d,qt_estoque_mediana_30d,qt_estoque_max_30d,qt_estoque_min_30d,qt_estoque_media_60d,qt_estoque_mediana_60d,qt_estoque_max_60d,qt_estoque_min_60d,media_1d_7d_ratio_qt_estoque,media_1d_30d_ratio_qt_estoque,media_1d_60d_ratio_qt_estoque,media_7d_30d_ratio_qt_estoque,media_7d_60d_ratio_qt_estoque,media_30d_60d_ratio_qt_estoque,mediana_1d_7d_ratio_qt_estoque,mediana_1d_30d_ratio_qt_estoque,mediana_1d_60d_ratio_qt_estoque,mediana_7d_30d_ratio_qt_estoque,mediana_7d_60d_ratio_qt_estoque,mediana_30d_60d_ratio_qt_estoque,max_1d_7d_ratio_qt_estoque,max_1d_30d_ratio_qt_estoque,max_1d_60d_ratio_qt_estoque,max_7d_30d_ratio_qt_estoque,max_7d_60d_ratio_qt_estoque,max_30d_60d_ratio_qt_estoque,min_1d_7d_ratio_qt_estoque,min_1d_30d_ratio_qt_estoque,min_1d_60d_ratio_qt_estoque,min_7d_30d_ratio_qt_estoque,min_7d_60d_ratio_qt_estoque,min_30d_60d_ratio_qt_estoque,day_of_the_week
39935,3,82037,2024-03-05,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,1.1333333333333333,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.029411764705882353,,,,,,,,0.0,0.0,0.0,0.0,0.14285714285714285,,,,,,,1
40251,8,49880,2024-03-05,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.6166666666666667,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.16216216216216217,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,1
40497,3,48253,2024-03-06,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.783333333333333,0.0,15.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,2
40556,3,77690,2024-03-06,53.0,0,1.0,Intermittent,1.0,GO,217.0,422944,390554,209.7,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.13333333333333333,0.0,1.0,0.0,,,,,0.0,0.0,,1.0714285714285714,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,193.4175,188.7,471.75,188.7,1.0,1.0,0.975609756097561,1.0,0.975609756097561,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39999999999999997,1.0,0.39999999999999997,0.39999999999999997,1.0,1.0,1.0,1.0,1.0,1.0,53.0,53.0,53.0,53.0,53.42857142857143,53.0,55.0,53.0,55.46666666666667,55.5,59.0,52.0,36.75,53.5,59.0,0.0,0.9919786096256684,0.9555288461538461,1.4421768707482994,0.9632554945054945,1.4538386783284742,1.509297052154195,1.0,0.954954954954955,0.9906542056074766,0.954954954954955,0.9906542056074766,1.0373831775700935,0.9636363636363636,0.8983050847457628,0.8983050847457628,0.9322033898305084,0.9322033898305084,1.0,1.0,1.0192307692307692,inf,1.0192307692307692,inf,inf,2
40561,3,82037,2024-03-06,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,1.0166666666666666,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.03278688524590164,,,,,,,,0.0,0.0,0.0,0.0,0.14285714285714285,,,,,,,2
40877,8,49880,2024-03-06,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.6166666666666667,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.16216216216216217,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,2
41123,3,48253,2024-03-07,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533333333333333,0.0,15.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,3
41182,3,77690,2024-03-07,51.0,0,1.0,Intermittent,1.0,GO,217.0,422944,390554,209.7,1.0,1.0,1.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,,,,,7.0,6.0,,0.8571428571428571,,,inf,inf,,,,,1.0,1.0,,1.0,,,inf,inf,,,,,209.7,209.7,209.7,209.7,191.7,188.7,209.7,188.7,189.4,188.7,209.7,188.7,193.76749999999998,188.7,471.75,188.7,1.0938967136150235,1.1071805702217528,1.0822248313055596,1.0121436114044349,0.9893299960003613,0.9774601003780304,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,1.0,1.0,1.0,1.0,0.4445151033386327,1.0,0.4445151033386327,0.4445151033386327,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,1.0,1.0,53.0,53.0,53.0,53.0,53.142857142857146,53.0,54.0,53.0,55.5,55.5,59.0,52.0,37.6,53.5,59.0,0.0,0.9973118279569891,0.954954954954955,1.4095744680851063,0.9575289575289576,1.4133738601823709,1.476063829787234,1.0,0.954954954954955,0.9906542056074766,0.954954954954955,0.9906542056074766,1.0373831775700935,0.9814814814814815,0.8983050847457628,0.8983050847457628,0.9152542372881356,0.9152542372881356,1.0,1.0,1.0192307692307692,inf,1.0192307692307692,inf,inf,3
41187,3,82037,2024-03-07,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.9,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.037037037037037035,,,,,,,,0.0,0.0,0.0,0.0,0.14285714285714285,,,,,,,3
41503,8,49880,2024-03-07,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.6166666666666667,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.16216216216216217,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,3
41749,3,48253,2024-03-08,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,176.39,170.7,341.4,170.7,1.0,1.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283333333333333,0.0,15.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,4
41808,3,77690,2024-03-08,50.0,0,2.0,Intermittent,2.0,GO,217.0,422944,390554,314.54999999999995,1.0,1.0,1.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.2,0.0,1.0,0.0,,,,,3.5,5.0,,1.4285714285714284,,,inf,inf,,,,,1.0,1.0,,1.0,,,inf,inf,,,,,209.7,209.7,209.7,209.7,194.7,188.7,209.7,188.7,190.1,188.7,209.7,188.7,194.11749999999998,188.7,471.75,188.7,1.0770416024653313,1.1031036296685954,1.0802735456617771,1.0241977906365072,1.0030007598490605,0.9793037721998274,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,1.0,1.0,1.0,1.0,0.4445151033386327,1.0,0.4445151033386327,0.4445151033386327,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,1.0,1.0,51.0,51.0,51.0,51.0,52.714285714285715,53.0,53.0,51.0,55.46666666666667,55.5,59.0,51.0,38.45,53.5,59.0,0.0,0.9674796747967479,0.9194711538461539,1.3263979193758126,0.9503777472527473,1.370982723388445,1.4425661031642825,0.9622641509433962,0.918918918918919,0.9532710280373832,0.954954954954955,0.9906542056074766,1.0373831775700935,0.9622641509433962,0.864406779661017,0.864406779661017,0.8983050847457628,0.8983050847457628,1.0,1.0,1.0,inf,1.0,inf,inf,4
41813,3,82037,2024-03-08,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.0,7.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,4
42129,8,49880,2024-03-08,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.5833333333333334,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.17142857142857143,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,4
42375,3,48253,2024-03-09,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,176.38999999999996,170.7,341.4,170.7,1.0,1.0,0.9677419354838711,1.0,0.9677419354838711,0.9677419354838711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.033333333333333,0.0,14.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,5
42434,3,77690,2024-03-09,47.0,0,1.0,Intermittent,1.0,GO,217.0,422944,390554,209.7,2.0,2.0,2.0,2.0,0.5714285714285714,0.0,2.0,0.0,0.26666666666666666,0.0,2.0,0.0,,,,,3.5,7.5,,2.142857142857143,,,inf,inf,,,,,1.0,1.0,,1.0,,,inf,inf,,,,,314.54999999999995,314.54999999999995,314.54999999999995,314.54999999999995,212.67857142857142,188.7,314.54999999999995,188.7,194.295,188.7,314.54999999999995,188.7,196.215,188.7,471.75,188.7,1.4789924433249368,1.618929977611364,1.603088448895344,1.094616801402874,1.083905773914183,0.990214815381087,1.6669316375198726,1.6669316375198726,1.6669316375198726,1.0,1.0,1.0,1.0,1.0,0.666772655007949,1.0,0.666772655007949,0.666772655007949,1.6669316375198726,1.6669316375198726,1.6669316375198726,1.0,1.0,1.0,50.0,50.0,50.0,50.0,52.285714285714285,53.0,53.0,50.0,55.4,55.5,59.0,50.0,39.28333333333333,53.5,59.0,0.0,0.9562841530054645,0.9025270758122744,1.2728044123886297,0.9437854564208354,1.330989756954967,1.4102672889266017,0.9433962264150944,0.9009009009009009,0.9345794392523364,0.954954954954955,0.9906542056074766,1.0373831775700935,0.9433962264150944,0.847457627118644,0.847457627118644,0.8983050847457628,0.8983050847457628,1.0,1.0,1.0,inf,1.0,inf,inf,5
42439,3,82037,2024-03-09,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,5
42755,8,49880,2024-03-09,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,1.0,0.0,0.55,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.1212121212121212,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,5
43001,3,48253,2024-03-10,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,176.39,170.7,341.4,170.7,1.0,1.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,14.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,6
43060,3,77690,2024-03-10,46.0,0,0.0,Intermittent,0.0,GO,217.0,422944,390554,209.7,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,2.0,0.0,0.3,0.0,2.0,0.0,,,,,1.4,3.3333333333333335,,2.380952380952381,,,1.0,inf,,inf,,,0.5,0.5,,1.0,,,inf,inf,,,,,209.7,209.7,209.7,209.7,215.67857142857142,209.7,314.54999999999995,188.7,194.995,188.7,314.54999999999995,188.7,196.565,188.7,471.75,188.7,0.9722801788375559,1.0754121900561553,1.0668226795207691,1.1060723168725937,1.0972379183912264,0.9920128201867067,1.0,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,0.6666666666666667,0.6666666666666667,0.4445151033386327,1.0,0.666772655007949,0.666772655007949,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,1.0,1.0,47.0,47.0,47.0,47.0,51.42857142857143,53.0,53.0,47.0,55.0,55.0,59.0,47.0,40.06666666666667,53.5,59.0,0.0,0.9138888888888889,0.8545454545454545,1.1730449251247919,0.9350649350649352,1.2835749940575232,1.3727121464226288,0.8867924528301887,0.8545454545454545,0.8785046728971962,0.9636363636363636,0.9906542056074766,1.02803738317757,0.8867924528301887,0.7966101694915254,0.7966101694915254,0.8983050847457628,0.8983050847457628,1.0,1.0,1.0,inf,1.0,inf,inf,6
43065,3,82037,2024-03-10,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,5.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,6
43381,8,49880,2024-03-10,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.5166666666666667,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.06451612903225806,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,6
43627,3,48253,2024-03-11,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,176.39,170.7,341.4,170.7,1.0,1.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.566666666666667,0.0,14.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0
43686,3,77690,2024-03-11,46.0,0,0.0,Intermittent,0.0,GO,217.0,422944,390554,209.7,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,2.0,0.0,0.3,0.0,2.0,0.0,,,,,0.0,0.0,,2.380952380952381,,,0.0,,,inf,,,0.0,0.0,,1.0,,,,,,,,,209.7,209.7,209.7,209.7,218.6785714285714,209.7,314.54999999999995,188.7,195.695,188.7,314.54999999999995,188.7,196.915,188.7,471.75,188.7,0.9589416952474279,1.071565446230103,1.0649264911256127,1.1174458797034743,1.1105226693170729,0.993804433384963,1.0,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,0.6666666666666667,0.6666666666666667,0.4445151033386327,1.0,0.666772655007949,0.666772655007949,1.1112877583465819,1.1112877583465819,1.1112877583465819,1.0,1.0,1.0,46.0,46.0,46.0,46.0,50.42857142857143,51.0,53.0,46.0,54.56666666666667,55.0,59.0,46.0,40.833333333333336,53.5,59.0,0.0,0.9121813031161473,0.8430054978619426,1.126530612244898,0.924164412252378,1.2349854227405248,1.336326530612245,0.9019607843137255,0.8363636363636363,0.8598130841121495,0.9272727272727272,0.9532710280373832,1.02803738317757,0.8679245283018868,0.7796610169491526,0.7796610169491526,0.8983050847457628,0.8983050847457628,1.0,1.0,1.0,inf,1.0,inf,inf,0
43691,3,82037,2024-03-11,0.0,1,,Intermittent,1.0,GO,157293.0,483679,390554,224.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,224.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48333333333333334,0.0,4.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0
44007,8,49880,2024-03-11,0.0,1,,Intermittent,1.0,MG,217.0,422944,390554,134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,134.7,,,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.48333333333333334,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.06896551724137931,,,,,,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,,,,,0
44253,3,48253,2024-03-12,0.0,1,,Intermittent,1.0,GO,217.0,422944,731659,170.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,170.7,176.39,170.7,341.4,170.7,1.0,1.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,14.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,1
